2,4.7627,3.6176
2,5.731,4.0531
3,7.1064,9.4804
2,5.7808,2.619
2,5.8412,4.1382
2,4.6598,3.7403
2,5.084,3.1758
2,6.3086,2.8647
2,5.3925,4.9734
1,1.8558,6.2187
2,5.9124,3.7897
3,6.2685,8.5406
2,7.4039,4.1737
1,0.92852,6.437
1,2.145,5.0179
2,6.4392,2.9907
2,4.5775,4.435
2,6.8311,3.5942
1,2.2293,5.4774
2,6.0362,3.9069
2,6.4015,3.1179
2,6.2113,4.0236
1,2.4543,6.2596
2,5.8938,4.639
2,5.6053,2.9075
1,1.4633,6.3474
1,0.92429,6.4802
3,8.0596,9.1785
3,6.7803,7.8061
2,5.2451,3.667
1,1.1319,5.2004
3,6.253,7.905
3,6.3548,7.1171
3,8.4784,6.4479
1,1.4097,5.3789
3,5.7984,7.3117
2,6.1001,3.0826
3,7.4189,7.1119
1,4.1754,5.6732
2,6.5418,4.3988
1,2.8507,6.2641
1,1.4232,5.6404
2,5.8164,3.8315
2,7.1953,5.3711
2,5.0235,3.4869
3,6.8406,7.8656
2,6.7222,4.073
2,5.778,3.943
3,5.6016,6.9887
1,2.208,5.8204
1,3.0677,5.6739
3,7.2964,8.5645
2,5.3557,2.963
2,7.5225,4.1452
2,5.9773,3.471
2,6.9789,3.8502
3,7.0903,7.8438
2,7.3828,4.4328
2,7.5196,3.5628
1,2.21,4.8283
2,5.4971,3.5973
2,4.5247,4.3482
3,6.5022,8.0997
3,6.4559,9.2808
3,7.5066,6.9825
2,6.1922,3.6761
3,7.0423,9.13
1,1.0537,6.1586
3,4.8118,7.4939
2,6.2532,4.6715
2,6.6921,4.0283
3,7.6805,8.3836
2,5.7162,4.583
2,7.1868,1.3983
1,1.7699,6.2418
3,8.0808,8.2193
3,8.2339,7.2045
1,0.89598,5.7604
3,6.893,8.1642
1,1.6091,4.9399
2,6.1754,3.9955
2,4.9661,4.8199
1,2.7837,7.1501
3,6.5959,8.8563
2,6.3616,4.5243
2,5.4493,3.1161
3,8.841,9.5321
2,5.4283,4.3514
1,1.8792,6.3429
